"ime","plezalisce","ocena","dolzina"
Sinnlos,Bad Eisenkappel / Železna Kapla,5c,10 m
Im Zweifellsfall links,Bad Eisenkappel / Železna Kapla,6b,15 m
Im Zweifellsfal rechts,Bad Eisenkappel / Železna Kapla,6c+,15 m
Finger twins,Bad Eisenkappel / Železna Kapla,7a,15 m
Nie daham,Bad Eisenkappel / Železna Kapla,6c+,15 m
Hole-in-one,Bad Eisenkappel / Železna Kapla,7a,20 m
Drachennest,Bad Eisenkappel / Železna Kapla,4b,15 m
Das letzte Einhom,Bad Eisenkappel / Železna Kapla,7a+,22 m
Gorilatango,Bad Eisenkappel / Železna Kapla,7c,22 m
Plitzgewitta,Bad Eisenkappel / Železna Kapla,7b+,25 m
Schmidschen Schleicher,Bad Eisenkappel / Železna Kapla,6c,20 m
Osternest,Bad Eisenkappel / Železna Kapla,4b,15 m
Wurzelsepp,Bad Eisenkappel / Železna Kapla,4a,15 m
Nur für Kinder,Bad Eisenkappel / Železna Kapla,4a,12 m
Verhandlungstisch,Bad Eisenkappel / Železna Kapla,6a,18 m
Knuppel aus dem Sack,Bad Eisenkappel / Železna Kapla,6b,18 m
Christoph,Bad Eisenkappel / Železna Kapla,6b,18 m
Schottenrock,Bad Eisenkappel / Železna Kapla,5c,18 m
Feuersalamander,Bad Eisenkappel / Železna Kapla,4b,12 m
Füsse auseinander,Bad Eisenkappel / Železna Kapla,5b,15 m
Füsse zu,Bad Eisenkappel / Železna Kapla,5c,18 m
Raus bis du,Bad Eisenkappel / Železna Kapla,6a,20 m
Bierbauch,Bad Eisenkappel / Železna Kapla,6c,18 m
Lei lustig,Bad Eisenkappel / Železna Kapla,5b+,18 m
Elternschule,Bad Eisenkappel / Železna Kapla,5c,18 m
Z,Bad Eisenkappel / Železna Kapla,5a,18 m
Leicht is nit,Bad Eisenkappel / Železna Kapla,5c+/6a,18 m
Weberknecht,Bad Eisenkappel / Železna Kapla,6a/a+,18 m
Hokus Pokus,Bad Eisenkappel / Železna Kapla,6a,18 m
Eierspeis,Bad Eisenkappel / Železna Kapla,5b+/c,18 m
Fauler Willi,Bad Eisenkappel / Železna Kapla,4a,14 m
Biene Maya,Bad Eisenkappel / Železna Kapla,4c,10 m
Schnie Schna Schnappi,Bad Eisenkappel / Železna Kapla,6c,20 m
Herbert`s Krampen,Bad Eisenkappel / Železna Kapla,6b,25 m
Flugangst,Bad Eisenkappel / Železna Kapla,6c,25 m
Bohrfutter Chaos,Bad Eisenkappel / Železna Kapla,7a,25 m
Piazo,Bad Eisenkappel / Železna Kapla,6b,25 m
S-Pfelle,Bad Eisenkappel / Železna Kapla,5c+/6a,20 m
50-cbm-Micni,Bad Eisenkappel / Železna Kapla,4c,20 m
A Zuckale,Bad Eisenkappel / Železna Kapla,5a,20 m
A bisl oarg,Bad Eisenkappel / Železna Kapla,6c (obl: 6c),20 m
Bannanentango,Bad Eisenkappel / Železna Kapla,7b,20 m
Agressive Zwei-Finger-Meditation,Bad Eisenkappel / Železna Kapla,7c+/8a,20 m
Hata Yoga,Bad Eisenkappel / Železna Kapla,7a+,20 m
Schindler`s lust,Bad Eisenkappel / Železna Kapla,6a+,25 m
Lochaufsteher,Bad Eisenkappel / Železna Kapla,6c,25 m
Der Gekreuzigte,Bad Eisenkappel / Železna Kapla,6b+/c,20 m
Otto P.,Bad Eisenkappel / Železna Kapla,6a+/b,20 m
Die Entschlusselung,Bad Eisenkappel / Železna Kapla,7b+/c,20 m
Ruck Zuck,Bad Eisenkappel / Železna Kapla,6a+,18 m
Flippi,Bad Eisenkappel / Železna Kapla,6c,17 m
Lochkas,Bad Eisenkappel / Železna Kapla,5c,15 m
Gin Tonic,Bad Eisenkappel / Železna Kapla,4b,7 m
Tequilla,Bad Eisenkappel / Železna Kapla,4b/b+,7 m
Bacardi,Bad Eisenkappel / Železna Kapla,5b+/c,7 m
Flip,Bad Eisenkappel / Železna Kapla,4a,7 m
McDonald,Bad Eisenkappel / Železna Kapla,4b,10 m
Lei a bisl länger,Bad Eisenkappel / Železna Kapla,4a/a+,10 m
Uhudler,Bad Eisenkappel / Železna Kapla,4c,15 m
Disco,Bad Eisenkappel / Železna Kapla,5a/a+,15 m
Putzl,Bad Eisenkappel / Železna Kapla,5a,15 m
ENE,Bad Eisenkappel / Železna Kapla,5a,15 m
Zu kurz,Bad Eisenkappel / Železna Kapla,4c,8 m
Sonntags Spaziergang,Bergstation,6c,30 m
Fichte Alpin,Bergstation,6b+,18 m
Another way to Paradise,Bergstation,6a+,15 m
Steil am Seil,Bergstation,6a,16 m
Dubble Bubble,Bergstation,7c+,15 m
Regionalexpress,Bergstation,5c,12 m
Herr Lehmann,Bergstation,5a,12 m
Ausstieg fur Aufsteiger,Bergstation,5c,12 m
Seinerzeit,Breitwand,VI-/V+,200 m
Die hohle nuss,Ehnbachklamm,5b,15 m
Nikotin,Ehnbachklamm,5c,15 m
Pilatus porter,Ehnbachklamm,5a,12 m
Bossa nova,Ehnbachklamm,5b,15 m
No time for girls,Ehnbachklamm,5c,15 m
King Aser,Ehnbachklamm,6a,16 m
Bon position,Ehnbachklamm,5c,25 m
Captain Köck,Ehnbachklamm,5b,25 m
0-815,Ehnbachklamm,5b,18 m
