"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
St. Vigil in Enneberg - Vedla,Italija,12,3 do 6b,3,6b
Steinerne Stadt / Passo di Sella,Italija,17,3 do 6b,3,6b
Toscana - Monte Calvo,Italija,11,5a do 6b,5a,6b
Toscana - Poggio al Montone,Italija,8,4b do 6b,4b,6b
Travesio,Italija,45,4a do 8a,4a,8a
Val Bartolo,Italija,11,3 do 5c+/6a,3,5c+/6a
Val di Mello - Cascata del ferro,Italija,1,5c,5c,5c
Val di Mello - Le dimore degli dei,Italija,2,6a+ do 6b (VI+ do VII-),6a+,6a+
Val di Mello - Scoglio della metamorfosi,Italija,2,6a+ do 6b+ (VI+ do VII),6a+,6a+
Val di Mello - Sperone degli gnomi,Italija,1,5b (V),5b,5b
Val di Mello - Sperone del sarcofago,Italija,1,5c (V+),5c,5c
Val di Mello - Tempio dell'eden,Italija,2,6a do 6c (VI do VII+),6a,6a
Val di Mello - Trapezio d'argento,Italija,1,4c (IV+),4c,4c
Val Romana Alta,Italija,22,4b do 6c+,4b,6c+
Val Romana Bassa,Italija,25,4a do 6c+,4a,6c+
Valle Del Turano - La Fortezza,Italija,40,5b do 8b,5b,8b
Valli Giudicarie - Breguzzo,Italija,24,2 do 8b+,2,8b+
Valli Giudicarie - Coltura,Italija,11,5a do 7a,5a,7a
Valli Giudicarie - Comano,Italija,29,4b do 8a+,4b,8a+
Valli Giudicarie - Croz de le Niere,Italija,72,4a do 8a,4a,8a
Valli Giudicarie - Val Algone,Italija,60,4c do 7c,4c,7c
Valli Giudicarie - Val Lomasone,Italija,23,5a do 7a,5a,7a
Vallle dell'Orco - Caporal,Italija,1,6b,6b,6b
Vallle dell'Orco - Sergent,Italija,5,6a do 7b,6a,7b
Vallle dell'Orco - Torre di Aimonin,Italija,1,5c,5c,5c
Vecchiano,Italija,22,3 do 7a,3,7a
Boneyard (Kloof Gorge),Juzna Afrika,3,5c do 6a+,5c,6a+
Monteseel,Juzna Afrika,5,5a do 5c+,5a,5c+
Dalle holandes,Maroko,1,6c+/7a,6c+/7a,6c+/7a
Petit gorge,Maroko,3,6c do 7a,6c,7a
Taghia,Maroko,9,6a+ do 7b+,6a+,7b+
Frankenjura,Nemčija,311,3 do 9a (IV do VIII-),3,3
Kochel,Nemčija,22,4c do 7c+/8a,4c,7c+/8a
Liebethal,Nemčija,,,,
Schaffelberg,Nemčija,22,5c+ do 7a (VI- do VIII),5c+,5c+
Krakow - Labajowa,Poljska,9,4b do 6b,4b,6b
Kršlenica,Slovaška,19,4a do 8a+,4a,8a+
Armeško,Slovenija,34,4a do 7b,4a,7b
Bitenj potok,Slovenija,57,5a do 8a,5a,8a
Bitnje,Slovenija,72,4a do 8c,4a,8c
Blažčeva skala,Slovenija,30,4a do 7c+,4a,7c+
Boč,Slovenija,22,4b+/c do 7c+,4b+/c,7c+
Bodešče,Slovenija,40,5c+/6a do 7b+,5c+/6a,7b+
Bohinj,Slovenija,108,2 do 8a,2,8a
Bohinjska Bela,Slovenija,80,3 do 8c+,3,8c+
Buncove skale,Slovenija,53,4a+/b do 7b+,4a+/b,7b+
Burjakove peči,Slovenija,102,3 do 9a,3,9a
Čerjan,Slovenija,20,6a+ do 8a,6a+,8a
Čolnišče,Slovenija,23,5b+ do 7b,5b+,7b
Čreta,Slovenija,182,2 do 8c+,2,8c+
Črni Kal,Slovenija,287,3 do 8a,3,8a
Dolge njive,Slovenija,78,4b do 8a,4b,8a
Dov,Slovenija,22,5c do 7a+,5c,7a+
Dovžanova soteska,Slovenija,58,4a do 8a (V+ do V+),4a,4a
Drnulk,Slovenija,55,4a+/b do 7b+,4a+/b,7b+
Gore,Slovenija,38,3 do 7c+,3,7c+
Gorje,Slovenija,21,4a+/b do 7b+,4a+/b,7b+
Gornji Ig,Slovenija,83,4b do 7c+/8a,4b,7c+/8a
Gromberg,Slovenija,11,5b do 7b+,5b,7b+
Igla,Slovenija,22,5b do 7a+,5b,7a+
Iški Vintgar,Slovenija,38,3 do 7c/c+,3,7c/c+
Jereka (Zevt),Slovenija,18,6b/b+ do 7c+/8a,6b/b+,7c+/8a
Kal-Koritnica,Slovenija,34,4a+ do 7b,4a+,7b
Kamnik,Slovenija,60,2 do 7b,2,7b
Kamniška bistrica,Slovenija,30,6a do 8a+,6a,8a+
Kamnitnik,Slovenija,40,4a/a+ do 6c+/7a,4a/a+,6c+/7a
Kanin,Slovenija,54,3 do 7a+,3,7a+
Kegl,Slovenija,31,4a do 7a,4a,7a
Koprivnik,Slovenija,20,5c do 7c+,5c,7c+
Korošica,Slovenija,78,2 do 7c,2,7c
Kot (nad Prevaljami),Slovenija,38,4a do 7c+,4a,7c+
Kotečnik,Slovenija,380,4b do 8c+,4b,8c+
Kovačevec,Slovenija,16,4c do 7b+,4c,7b+
Križevska vas,Slovenija,32,5a do 8a,5a,8a
Krvavec,Slovenija,13,4c+ do 7c+,4c+,7c+
Kupljenik,Slovenija,33,5a+/b do 8a+,5a+/b,8a+
Lavorček,Slovenija,7,5b do 6c,5b,6c
Lijak,Slovenija,47,4b do 8b,4b,8b
Lipje,Slovenija,10,6a do 7c,6a,7c
Logarska dolina,Slovenija,25,4a+ do 7b+/c,4a+,7b+/c
Luknja,Slovenija,54,4c/c+ do 7c,4c/c+,7c
Lutne Skale,Slovenija,139,3 do 8a/a+,3,8a/a+
Marof,Slovenija,44,4a do 7b+,4a,7b+
Matjaževe kamre,Slovenija,18,5c do 7c,5c,7c
Matvoz,Slovenija,50,4b+/c do 7b,4b+/c,7b
Mišja peč,Slovenija,203,4a/a+ do 9a+/b,4a/a+,9a+/b
Mlinska Peč,Slovenija,17,6b do 7b+/c,6b,7b+/c
Močilnik,Slovenija,17,4a do 7c,4a,7c
Nad Savo,Slovenija,19,5b/b+ do 8a,5b/b+,8a
Nadiža,Slovenija,49,4c/c+ do 8a+,4c/c+,8a+
Nomenj,Slovenija,34,4a do 7a+,4a,7a+
Okrešelj,Slovenija,29,4a do 7a,4a,7a
Osp,Slovenija,266,3 do 9a,3,9a
Peč (pri Bohinju),Slovenija,56,2 do 7c,2,7c
Pisano čelo,Slovenija,9,6a+ do 7c,6a+,7c
Pod Golico,Slovenija,42,3 do 7c+,3,7c+
Pod Kopitcem,Slovenija,28,4c/c+ do 7a,4c/c+,7a
Pod Reško planino,Slovenija,67,4a+ do 8b,4a+,8b
Pod Škalo,Slovenija,47,5a do 7c+,5a,7c+
Pod Sušo,Slovenija,22,4c/c+ do 8a+,4c/c+,8a+
Porezen,Slovenija,10,6a do 7b+,6a,7b+
Preddvor,Slovenija,57,4a do 8b,4a,8b
Predloka,Slovenija,22,5c do 7c+,5c,7c+
Prepihova dolina,Slovenija,14,5a do 7b,5a,7b
Pri Čiginju,Slovenija,45,3 do 7c,3,7c
Pri Pavru,Slovenija,16,4a do 7a+,4a,7a+
Pri Plajerju (Trenta),Slovenija,34,4a/a+ do 7b+/c,4a/a+,7b+/c
Pri Skalarju - Zminec,Slovenija,24,5c do 7c,5c,7c
Pri Žvikarju,Slovenija,12,5a do 7b+,5a,7b+
Prtovč,Slovenija,42,5a do 7b+,5a,7b+
Radlje,Slovenija,23,3 do 7a+,3,7a+
Radovna,Slovenija,20,6a do 8a+/b,6a,8a+/b
Rakitnica,Slovenija,7,5c do 6c,5c,6c
Renke,Slovenija,45,4c+ do 7c+,4c+,7c+
Retovje,Slovenija,27,5a do 8b/b+,5a,8b/b+
Risnik,Slovenija,35,4b do 8a,4b,8a
Rudnica,Slovenija,11,6a do 7b,6a,7b
Šavnica,Slovenija,15,5c do 7b+,5c,7b+
Šeginov potok,Slovenija,11,5b do 8a+,5b,8a+
Sele,Slovenija,43,4a do 7c+,4a,7c+
Senica,Slovenija,47,4a do 8a,4a,8a
Škratova skala,Slovenija,7,4b do 7a,4b,7a
Slap ob Idrijci,Slovenija,22,4a do 7a+,4a,7a+
Slomnik,Slovenija,32,4b do 8a+,4b,8a+
Šnitov rob,Slovenija,15,5c do 7a+,5c,7a+
Snovik,Slovenija,19,5c+ do 8b+,5c+,8b+
Socka,Slovenija,22,5a do 7b+,5a,7b+
Šoder graben,Slovenija,41,4a do 7c+,4a,7c+
Sopota,Slovenija,15,5c do 7a/a+,5c,7a/a+
Štenge,Slovenija,25,4a do 7c,4a,7c
Strug,Slovenija,104,3 do 7c+,3,7c+
Šumberk,Slovenija,23,3 do 7b,3,7b
Turnc,Slovenija,90,3 do 7b,3,7b
Urbasova skala,Slovenija,30,4a do 7b,4a,7b
Vipava,Slovenija,284,2 do 7c+,2,7c+
Vipavska Bela,Slovenija,128,2 do 8c/c+,2,8c/c+
Vranja peč,Slovenija,17,5a+ do 7a,5a+,7a
Vransko,Slovenija,16,4a do 5c+/6a,4a,5c+/6a
Vršič,Slovenija,40,4a do 7b,4a,7b
Završnica,Slovenija,50,5a+/b do 7c+/8a,5a+/b,7c+/8a
Zelenc pri Izlakah,Slovenija,8,5c do 7c,5c,7c
Žvanov rob,Slovenija,15,4a/a+ do 7b+,4a/a+,7b+
alaro,Španija,11,5c do 7b+,5c,7b+
Arboli,Španija,78,4a do 8a,4a,8a
Archidona,Španija,2,7b+ do 7c,7b+,7c
Bielsa,Španija,2,6c+ do 7a,6c+,7a
cala barques,Španija,1,6c,6c,6c
Cala Marganer,Španija,11,4a do 7a+,4a,7a+
Capçanes,Španija,52,6a do 8a+,6a,8a+
Catalunya - Alos de Balaguer,Španija,38,6a do 8c,6a,8c
Catalunya - Camarasa,Španija,246,5b do 8c+,5b,8c+
Catalunya - Cubelles,Španija,66,5a do 8a+,5a,8a+
Catalunya - La Pauta,Španija,62,6a+ do 8a+,6a+,8a+
Catalunya - Os de Balaguer,Španija,50,6a do 8a,6a,8a
Catalunya - Sant Llorenç de Montgai,Španija,126,5c do 8c+/9a,5c,8c+/9a
Catalunya - Santa Ana,Španija,165,6a do 8c+/9a,6a,8c+/9a
Catalunya - Santa Linya,Španija,109,6a+ do 9b,6a+,9b
Catalunya - Tartareu,Španija,93,5c do 8b+,5c,8b+
Chulilla,Španija,930,4a do 8c+,4a,8c+
Collegats - La Pedrera,Španija,34,6a+ do 8b+/c,6a+,8b+/c
El Chorro,Španija,7,6a+/b do 8a,6a+/b,8a
eremita de betlem,Španija,3,6b+ do 8a,6b+,8a
Foz de la canal,Španija,5,6c+ do 7c,6c+,7c
Gorg Blau,Španija,4,6b+ do 7c,6b+,7c
Grazalema,Španija,1,8a,8a,8a
Infierno,Španija,1,7a,7a,7a
la muela,Španija,2,7c+ do 8a,7c+,8a
Les perxes,Španija,1,7b,7b,7b
LLaberia/tivisa,Španija,2,6b+ do 7b+,6b+,7b+
Mallorca - La Creveta,Španija,4,5b do 6a+,5b,6a+
Mallorca - S'estret,Španija,14,5a/a+ do 7a+,5a/a+,7a+
Mallorca - Valldemossa,Španija,7,5c do 6c+,5c,6c+
Margalef,Španija,705,3 do 9b,3,9b
Masriudoms,Španija,8,6b+ do 7c,6b+,7c
Montsant,Španija,41,4b do 8a,4b,8a
Oliana,Španija,64,4c do 9a+,4c,9a+
Port de Soller,Španija,4,6a do 6c,6a,6c
port de solrer,Španija,2,6c do 7b,6c,7b
Rodellar,Španija,426,4c do 8c+,4c,8c+
Rumenes,Španija,5,7a do 7b+,7a,7b+
Sa Gubia,Španija,9,5a do 7b,5a,7b
Siurana,Španija,1030,4b do 9b,4b,9b
Sollius,Španija,9,1 do 7a+ (V do V),1,1
St. Llorenc de Montgai,Španija,6,6a+ do 7c/c+,6a+,7c/c+
Tartareu,Španija,18,6a+ do 8b+,6a+,8b+
Tenerife  - Guia de Isora,Španija,73,4a+ do 8a+,4a+,8a+
Tenerife - Arico,Španija,235,4c do 8c+ (IV+ do V+),4c,4c
Tenerife - El Hoyo,Španija,63,4b do 8a,4b,8a
Tenerife - El Rio,Španija,92,5a do 8c (V do V+),5a,5a
Tenerife - La Galeria,Španija,22,5c do 8c+,5c,8c+
Tenerife - Las Bovedas,Španija,7,4b do 6b (IV do V+),4b,4b
Tenerife - Planeta  Zarza,Španija,38,5b do 8a,5b,8a
Tenerife - Santa Ursula (Vistamar),Španija,35,5c do 8a,5c,8a
Terradets - Paret de les Bruixes,Španija,46,6a+ do 8b,6a+,8b
Teverga,Španija,127,5a do 8b+,5a,8b+
Tijuana (Santanyi),Španija,13,4c do 7b+,4c,7b+
Tres Ponts,Španija,85,6a do 8b+,6a,8b+
Urdon,Španija,1,7b,7b,7b
Vilanova de Prades,Španija,4,4c do 4c,4c,4c
Villanueva de Valdegovia,Španija,4,7a do 7b+,7a,7b+
Villanueva del rosario,Španija,1,7c,7c,7c
Grdoba,Srbija,4,5b do 6c+,5b,6c+
Jelašnička klisura,Srbija,61,4b do 7a+,4b,7a+
Töllsjo,Švedska,22,6b do 8a+,6b,8a+
Engelberg,Švica,1,7a+,7a+,7a+
Oberdörf-Bubichopf,Švica,1,5c+,5c+,5c+
Chiang Mai - Crazy Horse Buttress,Tajska,17,6a do 6c,6a,6c
Krabi - Diamond Cave,Tajska,14,5b do 6b+,5b,6b+
Krabi - Dum's Kitchen,Tajska,5,6a do 7a+,6a,7a+
Krabi - Eagle Wall,Tajska,8,5c do 7a,5c,7a
Krabi - Melting Wall,Tajska,4,6a do 7a+,6a,7a+
Krabi - Muay Thai,Tajska,17,5b do 7b,5b,7b
Krabi - One Two Three,Tajska,20,5b do 7b+,5b,7b+
Krabi - Thaiwand Wall,Tajska,4,6a+ do 6b,6a+,6b
Krabi - The Nest/Wild Kingdom,Tajska,9,6a do 7a,6a,7a
Krabi - Ton Sai Wall and Roof,Tajska,3,6c+ do 7a+,6c+,7a+
Krabi - Wee's Present Wall,Tajska,5,6a do 6b+,6a,6b+
spyderman wall,Tajska,1,7a+,7a+,7a+
Datça,Turčija,9,7a do 7c,7a,7c
Geyikbayiri,Turčija,412,4b do 8c+,4b,8c+
Calico Basin,Združene države Amerike,10,5a do 6c+/7a,5a,6c+/7a
Calico Hills The Gallery,Združene države Amerike,4,6a+ do 6c+/7a,6a+,6c+/7a
Joshua Tree,Združene države Amerike,10,5a do 6b+,5a,6b+
Red River Gorge,Združene države Amerike,7,7a+ do 7b,7a+,7b
Smith Rock,Združene države Amerike,,,,
