"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Peillon - Derriere le Bloc,Francija,4,6b do 6b,6b,6b
Peillon - La grotte,Francija,37,6a do 8c,6a,8c
Peillon - Memorial Paul Arene,Francija,20,6a+ do 7b+,6a+,7b+
Picellu,Francija,2,4c do 6b (VII- do VII-),4c,4c
Portu,Francija,30,3 do 7a,3,7a
Restonica,Francija,5,6b do 7a,6b,7a
Rocher Baron,Francija,10,4a do 5b,4a,5b
Rocher des Gozzi,Francija,31,3 do 8a,3,8a
Rocher Gafouille et Les Aues,Francija,16,2 do 7b,2,7b
Rocher Qui Répond,Francija,9,4b do 6a,4b,6a
Rue des masques,Francija,48,5c do 8a,5c,8a
Rupione,Francija,12,4a do 6a,4a,6a
Russan,Francija,11,6b do 7c,6b,7c
Saint Cezaire,Francija,149,4c do 8b+,4c,8b+
Saint Cezaire - Les Malines,Francija,112,5b do 8b,5b,8b
Saint Leger du Ventoux,Francija,367,5c do 8c/c+,5c,8c/c+
Sari,Francija,4,6a+ do 7a,6a+,7a
Seynes,Francija,2,6c do 6c+,6c,6c+
Shadocks,Francija,7,6a do 6c+,6a,6c+
Sigottier,Francija,4,6a do 6b,6a,6b
Terre sacrée,Francija,12,3 do 5c,3,5c
Tina Dalle,Francija,4,4c do 5b+/c,4c,5b+/c
Tipponu,Francija,20,3 do 7a+,3,7a+
Tournoux,Francija,43,5c do 8a,5c,8a
Tresor du Zebre,Francija,5,6a do 6c,6a,6c
Tuani,Francija,10,5c do 7a,5c,7a
Vacca,Francija,16,4c do 6c,4c,6c
Wachtfels,Francija,13,5c do 7b,5c,7b
Agiofarago,Grčija,88,4a do 8c,4a,8c
Agria,Grčija,1,4c,4c,4c
Kalogria,Grčija,6,6a+ do 7b/b+,6a+,7b/b+
Kalymnos - južni del (South),Grčija,78,5a do 8a,5a,8a
Kalymnos - osrednji del (Central),Grčija,742,3 do 8c+,3,8c+
Kalymnos - severni del (North),Grčija,841,4a do 9a,4a,9a
Kyparissi,Grčija,190,5a do 8c+/9a,5a,8c+/9a
Leonidio,Grčija,621,2A do 9a,2A,9a
Plakias,Grčija,38,4c do 8a+,4c,8a+
Prophitis Andreas,Grčija,4,6a do 7a,6a,7a
Skoteino Cave,Grčija,6,5b do 7b+,5b,7b+
Telendos,Grčija,122,4b do 8c+,4b,8c+
Theopetra,Grčija,5,6a do 6c+,6a,6c+
Voulismeno ALONI,Grčija,28,4c do 8c,4c,8c
Antovo,Hrvaška,12,4b do 6c+,4b,6c+
Bast,Hrvaška,28,4c do 7b,4c,7b
Bobanova greda,Hrvaška,24,5b do 7b,5b,7b
Božin kuk,Hrvaška,14,5b do 6c+,5b,6c+
Brač - Ložišća,Hrvaška,72,4a do 7b,4a,7b
Brač - Nerežišća,Hrvaška,12,4a do 7c+,4a,7c+
Brač - Selca/Povlja,Hrvaška,8,6a do 7c,6a,7c
Brač - Smrka,Hrvaška,29,6a do 8c,6a,8c
Brela,Hrvaška,80,4a do 7c+,4a,7c+
Brseč,Hrvaška,64,5b do 8b,5b,8b
Buzetski kanjon,Hrvaška,117,5a do 8c,5a,8c
Čepić,Hrvaška,39,4a do 7b,4a,7b
Čiritež,Hrvaška,32,5c do 8b+,5c,8b+
Cres - Babina,Hrvaška,16,4a do 6c+,4a,6c+
Cres - Lubenice,Hrvaška,12,4b do 6c+,4b,6c+
Dabarski kukovi,Hrvaška,48,4c do 7a+,4c,7a+
Dolina Raše - Zub,Hrvaška,9,4c do 6c+,4c,6c+
Drašnice,Hrvaška,19,4a do 8a,4a,8a
Dvigrad,Hrvaška,86,4b do 8c,4b,8c
Golubinjak,Hrvaška,66,3 do 8a,3,8a
Hvar - Milna,Hrvaška,30,4b do 7c,4b,7c
Hvar - Podstine,Hrvaška,11,5a do 7a+/b,5a,7a+/b
Hvar - Pokrivenik,Hrvaška,25,6b do 8a+,6b,8a+
Hvar - Straćine,Hrvaška,21,4c do 7a,4c,7a
Hvar - Šuplja stina,Hrvaška,106,5b do 8a,5b,8a
Hvar - Velika Stiniva,Hrvaška,89,5a do 8a+,5a,8a+
Istarske toplice,Hrvaška,126,4a do 8c+,4a,8c+
Kalnik,Hrvaška,145,3 do 8a/a+,3,8a/a+
Kamena vrata,Hrvaška,44,4b do 8b,4b,8b
Kamenjak,Hrvaška,37,4a do 6c+,4a,6c+
Kanjon Čikole,Hrvaška,58,4a+/b do 7b+,4a+/b,7b+
Kanjon Rječine,Hrvaška,16,6a do 8b,6a,8b
Karin,Hrvaška,49,5b do 8a,5b,8a
Klek,Hrvaška,22,4b do 7b+,4b,7b+
Klobuk,Hrvaška,34,5b do 8a+,5b,8a+
Kompanj,Hrvaška,115,5c do 8c/c+,5c,8c/c+
Konavle,Hrvaška,29,4b do 7b,4b,7b
Konavle - Pićete,Hrvaška,5,4a do 7a,4a,7a
Kozjak,Hrvaška,5,5c do 7c,5c,7c
Krk - Bag,Hrvaška,11,4a do 6b,4a,6b
Krk - Belove stene,Hrvaška,38,4a do 6c+,4a,6c+
Krk - Bunculuka,Hrvaška,11,5a do 7a+,5a,7a+
Krk - Ljubimer,Hrvaška,10,4b do 5c,4b,5c
Krk - Portafortuna,Hrvaška,71,4a do 8a,4a,8a
Krkuž,Hrvaška,8,5c do 8a,5c,8a
Krvavica,Hrvaška,10,5c do 7c+,5c,7c+
Limski kanal,Hrvaška,114,4b do 8c,4b,8c
Ljubelj,Hrvaška,10,4b do 7b,4b,7b
Lošinj - Osoršćica,Hrvaška,31,4c do 8a,4c,8a
Malačka,Hrvaška,12,4a do 7a,4a,7a
Marjan,Hrvaška,77,4b do 8a,4b,8a
Markezina greda,Hrvaška,105,5b do 8b+,5b,8b+
Medveja,Hrvaška,63,4b do 9a,4b,9a
Mimice,Hrvaška,31,5c do 8b,5c,8b
Mošćenićka Draga,Hrvaška,33,4c do 7c,4c,7c
Nugla,Hrvaška,19,6a+ do 8a,6a+,8a
Obli kuk (Prezid),Hrvaška,32,4b do 7c,4b,7c
Okić,Hrvaška,30,4a do 8b/b+,4a,8b/b+
Omiš,Hrvaška,244,4a do 8b+,4a,8b+
