"plezalisce","regija","drzava"
Mošćenićka Draga,None,Hrvaška
Nugla,None,Hrvaška
Obli kuk (Prezid),Velebit,Hrvaška
Okić,None,Hrvaška
Omiš,None,Hrvaška
Pag - Stogaj,None,Hrvaška
Paklenica,None,Hrvaška
Paklenica - Vaganac,None,Hrvaška
Papuk - Sokoline stijene,None,Hrvaška
Pazin,None,Hrvaška
Pelješac - Orebić,None,Hrvaška
Perun,None,Hrvaška
Plitvice - Gajina pećina,None,Hrvaška
Pod Ključicom,None,Hrvaška
Pokojec,None,Hrvaška
Ponte porton,None,Hrvaška
Rabac,None,Hrvaška
Radetina greda,None,Hrvaška
Raspadalica,None,Hrvaška
Ravna gora,None,Hrvaška
Roč,None,Hrvaška
Rovinj,None,Hrvaška
Rupotine (Klis),None,Hrvaška
Sopot,None,Hrvaška
Strogir,None,Hrvaška
Terihaj,None,Hrvaška
Trogir - Sveti Vid,None,Hrvaška
Ugljan,None,Hrvaška
Vela Draga,None,Hrvaška
Veli vrh,None,Hrvaška
Vinkuran,None,Hrvaška
Vis - Crnjene stijene,None,Hrvaška
Vranja peč,None,Hrvaška
Vranjača,None,Hrvaška
Vrbovsko,None,Hrvaška
Zadvarje,None,Hrvaška
Žarkovica - Gornji Brgat,None,Hrvaška
Zia,None,Hrvaška
Zir,None,Hrvaška
Zrmanja Džebinovac,None,Hrvaška
Al Palazzo - Bosplans,None,Italija
Alcenago - Stallavena,None,Italija
Almadis - Cuargnui,None,Italija
Anduins - Masarach,None,Italija
Arcadioland,None,Italija
Arco,None,Italija
Arco - Baone,None,Italija
Arco - Baone,None,Italija
Arco - Bassilandia,None,Italija
Arco - Calvario,None,Italija
Arco - Colodri (Est),None,Italija
Arco - Colodri, Pilastro Zanzara,None,Italija
Arco - Colodri, Sud (Laghel),None,Italija
Arco - La Gola,None,Italija
Arco - Le Piazzole,None,Italija
Arco - Lorto,None,Italija
Arco - Mandrea,None,Italija
Arco - Massi di Prabi,None,Italija
Arco - Massone,None,Italija
Arco - Monte Colt,None,Italija
Arco - Muro dellasino,None,Italija
Arco - Nago,None,Italija
Arco - Ottava meraviglia,None,Italija
Arco - Placche zebrate,None,Italija
Arco - Red point wall,None,Italija
Arco - San Paolo,None,Italija
Arco - San Siro,None,Italija
Arco - Sisyphos,None,Italija
Arco - Swing Area,None,Italija
Arco - Val Lomanose,None,Italija
Aurisina (Nabrežina),None,Italija
Baratro,None,Italija
Barbarano,None,Italija
Bila Pec (Bela Peč),None,Italija
Carnevale dIvrea,None,Italija
Castegnero,None,Italija
Castelnuovo di Porto,None,Italija
Cavazzo,None,Italija
Ceredo,None,Italija
Cevrè,None,Italija
Cinque  torri,None,Italija
Cinque torri - Sasso cubico,None,Italija
Cinque torri - Torre grande Cima ovest,None,Italija
Cinque torri - Torre grande Cima sud,None,Italija
Collina, Collinetta e deserto,None,Italija
Cortina dAmpezzo - Crepe de Oucera alti,None,Italija
Cortina dAmpezzo - Crepe de Oucera bassi,None,Italija
Cortina dAmpezzo - Landro,None,Italija
